0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:03 -0700] "PUT /MVCProject/rest/user/1/todos/5 HTTP/1.1" 201 161
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:03 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:04 -0700] "PUT /MVCProject/rest/user/1/todos/6 HTTP/1.1" 201 163
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:04 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:04 -0700] "PUT /MVCProject/rest/user/1/todos/7 HTTP/1.1" 201 166
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:04 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1114
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:05 -0700] "PUT /MVCProject/rest/user/1/todos/6 HTTP/1.1" 201 164
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:05 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:06 -0700] "PUT /MVCProject/rest/user/1/todos/7 HTTP/1.1" 201 167
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:06 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:09 -0700] "PUT /MVCProject/rest/user/1/todos/19 HTTP/1.1" 201 171
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:09 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:09 -0700] "PUT /MVCProject/rest/user/1/todos/19 HTTP/1.1" 201 172
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:03:09 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:27 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:27 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:27 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:30 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:30 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:30 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:34 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:34 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:34 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:39 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:39 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:39 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:39 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:39 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:39 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:04:39 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:09 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:09 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:09 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:09 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:13 -0700] "GET /MVCProject/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:13 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:13 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 200 328
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:13 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:13 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:13 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1777
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:13 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:26 -0700] "GET /MVCProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:26 -0700] "GET /MVCProject/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:26 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:26 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:33 -0700] "PUT /MVCProject/rest/user/1/todos/7 HTTP/1.1" 201 166
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:33 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:34 -0700] "PUT /MVCProject/rest/user/1/todos/15 HTTP/1.1" 201 166
0:0:0:0:0:0:0:1 - - [08/Jan/2018:14:05:34 -0700] "GET /MVCProject/rest/user/1/todos HTTP/1.1" 200 1114
